"Nom";"Licences - Entité";"Éditeur";"Versions - Nom";"Versions - Système d'exploitation";"Licences - Nombre d'installations";"Licences - Nombre de licences";
"USBPcap 1.3.0.0";"Root entity";"Tomasz Mon";"1.3.0.0";"Windows";"1";"0";
"User State Migration Tool";"Root entity";"Microsoft";"8.59.25584";"Windows";"1";"0";
"VdhCoApp 1.3.0";"Root entity";"DownloadHelper";"";"Windows";"1";"0";
"Visionneuse 3D";"Root entity";"Microsoft Platform Extensions";"7.2004.20022.0";"Windows";"1";"0";
"Visionneuse 3D";"Root entity";"Microsoft Corporation";"7.2004.20022.0";"Windows";"1";"0";
"Visionneuse web de l’application de bureau";"Root entity";"Microsoft Corporation";"10.0.19041.1
10.0.18362.449";"Windows";"2";"0";
"VLC media player";"Root entity";"VideoLAN";"3.0.10
3.0.8";"Windows";"2";"0";
"Votre compte";"Root entity";"Microsoft Corporation";"10.0.19041.1
10.0.18362.449";"Windows";"2";"0";
"vReveal";"Root entity";"MotionDSP";"";"Windows";"1";"0";
"VueScan x64";"Root entity";"Hamrick Software";"9.7.28";"Windows";"1";"0";
"WakeOnLan v3.9.7";"Root entity";"Dipisoft";"3.9.7";"Windows";"1";"0";
"Web Companion";"Root entity";"Lavasoft";"6.0.2270.4122";"Windows";"1";"0";
"Web Media Extensions";"Root entity";"Microsoft Platform Extensions";"1.0.20875.0";"Windows";"1";"0";
"Web Media Extensions";"Root entity";"Microsoft Corporation";"1.0.20875.0";"Windows";"1";"0";
"Win32DiskImager version 1.0.0";"Root entity";"ImageWriter Developers";"1.0.0";"Windows";"1";"0";
"Windows 7 USB/DVD Download Tool";"Root entity";"Microsoft Corporation";"1.0.30";"Windows";"1";"0";
"Windows Alarms &amp; Clock";"Root entity";"Microsoft Platform Extensions";"10.2005.1675.0";"Windows";"1";"0";
"Windows Alarms &amp; Clock";"Root entity";"Microsoft Corporation";"10.2005.1675.0";"Windows";"1";"0";
"Windows Calculator";"Root entity";"Microsoft Platform Extensions";"10.2005.23.0";"Windows";"1";"0";
"Windows Calculator";"Root entity";"Microsoft Corporation";"10.2005.23.0";"Windows";"1";"0";
"Windows Camera";"Root entity";"Microsoft Platform Extensions";"2020.504.40.0";"Windows";"1";"0";
"Windows Camera";"Root entity";"Microsoft Corporation";"2019.821.30.0";"Windows";"1";"0";
"Windows Defender SmartScreen";"Root entity";"Microsoft Corporation";"1000.19041.1.0
1000.18362.449.0";"Windows";"2";"0";
"Windows Deployment Customizations";"Root entity";"Microsoft";"8.59.25584";"Windows";"1";"0";
"Windows Deployment Tools";"Root entity";"Microsoft";"8.59.25584";"Windows";"1";"0";
"Windows Driver Package - MylapsSportTiming (usbser) Ports (03/27/2018 1.1.0)";"Root entity";"MylapsSportTiming";"03/27/2018 1.1.0";"Windows";"1";"0";
"Windows Feature Experience Pack";"Root entity";"Microsoft Corporation";"120.2202.130.0";"Windows";"1";"0";
"Windows Maps";"Root entity";"Microsoft Platform Extensions";"10.2003.15.0
10.2005.1.0";"Windows";"1";"0";
"Windows Maps";"Root entity";"Microsoft Corporation";"10.2006.11.0";"Windows";"1";"0";
"Windows PE x86 x64";"Root entity";"Microsoft";"8.59.25584";"Windows";"1";"0";
"Windows PE x86 x64 wims";"Root entity";"Microsoft";"8.59.25584";"Windows";"1";"0";
"Windows Search";"Root entity";"Microsoft Corporation";"1.14.0.19041
1.13.0.18362";"Windows";"2";"0";
"Windows System Image Manager on amd64";"Root entity";"Microsoft";"8.59.25584";"Windows";"1";"0";
"Windows Voice Recorder";"Root entity";"Microsoft Platform Extensions";"10.2005.1672.0";"Windows";"1";"0";
"Windows Voice Recorder";"Root entity";"Microsoft Corporation";"10.2005.1672.0";"Windows";"1";"0";
"WinMerge 2.16.0.0 x64";"Root entity";"Thingamahoochie Software";"2.16.0.0";"Windows";"1";"0";
"WinMerge 2.16.4.0 x64";"Root entity";"Thingamahoochie Software";"2.16.4.0";"Windows";"1";"0";
"WinSCP 5.15.9";"Root entity";"Martin Prikryl";"5.15.9";"Windows";"1";"0";
"WinSCP 5.17.6";"Root entity";"Martin Prikryl";"5.17.6";"Windows";"1";"0";
"WinToUSB version 3.2";"Root entity";"The EasyUEFI Development Team.";"3.2";"Windows";"1";"0";
"Wireshark 3.0.5 64-bit";"Root entity";"The Wireshark developer community, https://www.wireshark.org";"3.0.5";"Windows";"1";"0";
"Wondershare Helper Compact 2.5.2";"Root entity";"Wondershare";"2.5.2";"Windows";"1";"0";
"Wondershare PDFelement 6 Pro(Build 6.8.9)";"Root entity";"Wondershare Software Co.,Ltd.";"6.8.9.4193";"Windows";"1";"0";
"WPT Redistributables";"Root entity";"Microsoft";"8.59.25584";"Windows";"1";"0";
"WPTx64";"Root entity";"Microsoft";"8.59.25584";"Windows";"1";"0";
"Xbox Console Companion";"Root entity";"Microsoft Platform Extensions";"48.67.14001.0";"Windows";"1";"0";
"Xbox Console Companion";"Root entity";"Microsoft Corporation";"48.67.14001.0";"Windows";"1";"0";
"Xbox Game Bar";"Root entity";"Microsoft Platform Extensions";"5.320.6242.0";"Windows";"1";"0";
"Xbox Game Bar";"Root entity";"Microsoft Corporation";"5.120.3171.0";"Windows";"1";"0";
"Xbox Game Bar Plugin";"Root entity";"Microsoft Platform Extensions";"1.54.4001.0";"Windows";"1";"0";
"Xbox Game Bar Plugin";"Root entity";"Microsoft Corporation";"1.49.24004.0";"Windows";"1";"0";
"Xbox Game Speech Window";"Root entity";"Microsoft Platform Extensions";"1.21.13002.0";"Windows";"1";"0";
"Xbox Game Speech Window";"Root entity";"Microsoft Corporation";"1.21.13002.0";"Windows";"1";"0";
"Xbox Game UI";"Root entity";"Microsoft Corporation";"1000.19041.1.0
1000.18362.449.0";"Windows";"2";"0";
"Xbox Identity Provider";"Root entity";"Microsoft Platform Extensions";"12.64.28001.0
12.67.21001.0";"Windows";"1";"0";
"Xbox Identity Provider";"Root entity";"Microsoft Corporation";"12.58.1001.0";"Windows";"1";"0";
"Xbox TCUI";"Root entity";"Microsoft Platform Extensions";"1.24.10001.0";"Windows";"1";"0";
"Xbox TCUI";"Root entity";"Microsoft Corporation";"1.24.10001.0";"Windows";"1";"0";
"Your Phone";"Root entity";"Microsoft Platform Extensions";"1.20071.92.0
1.20071.95.0";"Windows";"1";"0";
"Your Phone";"Root entity";"Microsoft Corporation";"1.20071.92.0";"Windows";"1";"0";
